X,t,IM_a,IM_b,shootP,litterP,ROP_a,LOP_a,PIP_a,DIP_a,rootP,ROP_b,LOP_b,PIP_b,DIP_b,in_IM,in_PIP,in_LOP,in_ROP,in_DIP,out_IM,out_PIP,out_LOP,out_ROP,out_DIP,date,dt,site.plot,A,porosity,HRT,Zs,Zw,Hw,Vw,Tw,dHw,dVw,Uw,ip,Tair,Twater,amc,ET,NATw,Qg,Qip,QET,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check,site,plot,k_TSS,k_TP,k_f_OSS,k_f_SRP,k_OSS2ROP,k_SRP2PIP,k_ISS2PIP,k_shootM,shootM_sd,k_rootM,rootM_sd,k_BM2P_litter,k_BM2P_root,k_BM2P_shoot,k_BM2P_rootshoot,k_BM2P,sand,silt,clay,k_clay,k_f_fines,k_Ex_max,k_PSR,k_LOI,obs_TM_a,obs_IM_a,obs_OM_a,obs_TP_a,obs_IP_a,obs_OP_a,simyears,k_HRT,Z_a_actual,k_HRT_a,k_HRT_b,Z_a,k_DIP_E_O2,k_DIP_E_N2,IO_use_k_DIP_E,IO_Q_net,IO_HRT_power_model,est_Litter_gm2_mean,est_Litter_tp_gm2_mean,est_Litter_gm2_sd,est_Litter_tp_gm2_sd,obs_shootM_t49,obs_shootM_t92,obs_shootM_t458,street,street_abbrev1,street_abbrev2,id,forcingfile,outfile,TP,in_TP,out_TP
1,0,0,31776.611193315,0.332963578174957,0.166481789087479,0,0,0,0,1.26499319341432,12.1653684297556,0.0121775459757313,30.6278271826048,0.014780392880828601,0,0,0,0,0,0,0,0,0,0,2019-07-15,1,OCSP.2,1,1,100,75.18614762,74.8450968715642,0,1e-6,19.38888888888889,0,0,1.8328639999999998,0,21.11111111111111,19.38888888888889,1,0.6995465321136183,TRUE,0,0,0,0,0,0,0,0,0,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.58459211189371,0,0
2,1,0,31776.611193315,0.335841859057052,0.165172587840947,0,0,0,8.15857210257266e-8,1.26695016760617,12.1659468473147,0.0143599650290901,30.6244243372337,0.0118962662262718,0,0,0,0,0,0,0,0,0,0,2019-07-16,1,OCSP.2,1,1,100,75.18614762,74.80098602570945,0,1e-6,20.27777777777778,0,0,3.57632,0.4318,22.22222222222222,20.27777777777778,1,0.6137036886829951,TRUE,0,0.004318,0,-0.004318,0,0,0,-0.004318,-0.004318,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.584592111893656,0,0
3,2,0,31776.611193315,0.338401529732041,0.1637570829051,0,0,0,7.95794801389962e-8,1.26850234516975,12.1665774520949,0.0167141461268431,30.6190322136295,0.0116072626559883,0,0,0,0,0,0,0,0,0,0,2019-07-17,1,OCSP.2,1,1,100,75.18614762,74.86060374957587,0,1e-6,22.055555555555557,0,0,3.442208,0.8636,24.444444444444443,22.055555555555557,2,0.6301257724731723,TRUE,0,0.008636,0,-0.008636,0,0,0,-0.008636,-0.008636,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.5845921118936,0,0
4,3,0,31776.611193315,0.340920917129997,0.162317860443233,0,0,0,7.94133467835754e-8,1.26998518740367,12.167224097522,0.0191010024418712,30.6134564502307,0.0115865173087822,0,0,0,0,0,0,0,0,0,0,2019-07-18,1,OCSP.2,1,1,100,75.18614762,74.90437183155056,0,1e-6,21.166666666666668,0,0,2.01168,0,23.333333333333332,21.166666666666668,2,0.44503762623713766,TRUE,0,0,0,0,0,0,0,0,0,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.5845921118936,0,0
5,4,0,31776.611193315,0.343407334260736,0.160784922564362,0,0,0,7.95220524154974e-8,1.27135365613991,12.1679190957862,0.0216354905405831,30.6078855661133,0.0116059669664544,0,0,0,0,0,0,0,0,0,0,2019-07-19,1,OCSP.2,1,1,100,75.18614762,74.91022690598496,0,1e-6,24.27777777777778,0,0,3.889248,0,27.22222222222222,24.27777777777778,2,0.7917034244952605,TRUE,0,0,0,0,0,0,0,0,0,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.5845921118936,0,0
6,5,0,31776.611193315,0.34583816679321,0.159058235433216,0,0,0,7.96932852099397e-8,1.27250813568031,12.1687094528377,0.0244793376306278,30.6023639235032,0.0116347803221167,0,0,0,0,0,0,0,0,0,0,2019-07-20,1,OCSP.2,1,1,100,75.18614762,74.88135860796139,0,1e-6,25.166666666666668,0,0,2.6375360000000003,0,28.333333333333332,25.166666666666668,2,0.6911540761035173,TRUE,0,0,0,0,0,0,0,0,0,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.58459211189367,0,0
7,6,0,31776.611193315,0.34827139251341,0.157358418756701,0,0,0,7.97661737910311e-8,1.27366680508187,12.1694953898058,0.0272668821320377,30.5968839472566,0.0116491965809835,0,0,0,0,0,0,0,0,0,0,2019-07-21,1,OCSP.2,1,1,100,75.18614762,74.83350001049482,0,1e-6,24.27777777777778,0,0,2.8163519999999997,0.1778,27.22222222222222,24.27777777777778,2,0.778552099787846,TRUE,0,0.001778,0,-0.001778,0,0,0,-0.001778,-0.001778,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.58459211189358,0,0
8,7,0,31776.611193315,0.350789850554392,0.15599293277647,0,0,0,7.95959725613583e-8,1.2751478271962,12.1701327607194,0.0294980323272412,30.591402947554,0.0116276811698919,0,0,0,0,0,0,0,0,0,0,2019-07-22,1,OCSP.2,1,1,100,75.18614762,74.85293569898332,0,1e-6,18.944444444444443,0,0,1.34112,0.025400000000000002,20.555555555555554,18.944444444444443,2,0.5028051876319839,TRUE,0,2.5400000000000005e-4,0,-2.5400000000000005e-4,0,0,0,-2.5400000000000005e-4,-2.5400000000000005e-4,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.58459211189356,0,0
9,8,0,31776.611193315,0.353347199425974,0.154803166586254,0,0,0,7.95714042187907e-8,1.27679051676493,12.1706930825131,0.0314375389760089,30.585893314819,0.011627213236934,0,0,0,0,0,0,0,0,0,0,2019-07-23,1,OCSP.2,1,1,100,75.18614762,74.93147181027157,0,1e-6,20.722222222222225,0,0,1.430528,0.012700000000000001,22.77777777777778,20.722222222222225,2,0.3843780484314961,TRUE,0,1.2700000000000002e-4,0,-1.2700000000000002e-4,0,0,0,-1.2700000000000002e-4,-1.2700000000000002e-4,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.584592111893606,0,0
10,9,0,31776.611193315,0.355898754133618,0.153610414660193,0,0,0,7.95806088808508e-8,1.27841501668632,12.1712595074049,0.0333777965152975,30.5803988732219,0.0116316696908135,0,0,0,0,0,0,0,0,0,0,2019-07-24,1,OCSP.2,1,1,100,75.18614762,74.90226381796047,0,1e-6,19.38888888888889,0,0,1.8775680000000001,0,21.11111111111111,19.38888888888889,2,0.5189480908069838,TRUE,0,0,0,0,0,0,0,0,0,OCSP,2,24.5,0.11199999999999999,0.5441176470588236,0.2773542635658915,0.001,1.4192113250241647,9.383718100787632e-4,222.641331127841,87.606748122412,845.857585965251,435.438931442654,1675.10606060606,0.00122497718978101,0.0033715806451612897,0.00229827891747115,0.0014955155742568268,2.9650000000000176,82.03499999999998,15,0.15,0.9703499999999998,4.136546835350299,0.18547916017340912,0.20397912128676132,584.814814814814,149.511479805596,435.303335009218,1.37967071988874,0.763014012062876,0.616656707825864,2,10,75.18614762,1.1,-2.3,0.08767740999999774,0.157933333333333,0.408546,TRUE,TRUE,FALSE,234.874467092758,0.324222941632721,65.3143130076407,0.090160497035612,194.666666666666,294.666666666666,606.063089900364,Swamp Rd,SwRd,Sw,Sw2,df.hydroclimate.1m.OCSP.2x1p2.csv,C:/Users/Adrian.Wiegman/Documents/GitHub/wetlandP/model_versions/wetlandP_v2/wetlandP_v2.1/outputs/outputs_pars_lcbp_stream_2xC_10d_OCSP.2_2023-08-23.csv,44.58459211189365,0,0
